iteration,best_val_acc
0,0.8709016442298889
1,0.8709016442298889
2,0.8709016442298889
3,0.8729507923126221
4,0.8729507923126221
5,0.8729507923126221
6,0.8729507923126221
7,0.8790983557701111
8,0.8790983557701111
9,0.8790983557701111
10,0.8790983557701111
11,0.8790983557701111
12,0.8790983557701111
13,0.8790983557701111
14,0.8831967115402222
15,0.8831967115402222
16,0.8831967115402222
17,0.8831967115402222
18,0.8831967115402222
19,0.8831967115402222
20,0.8831967115402222
21,0.8913934230804443
